33,Quảng Nam,1526,1 4.8,12.9,1.9,-,28.6,1 9.4,9.2,5.8,1.2,3.2,0.9
34,Quảng Ngãi,1531,1 5.9,12.9,2.9,0.1,25.5,1 4.9,10.6,5.7,0.6,3.6,1.0
35,Bình Định,1528,1 5.8,14.6,1.1,0.1,25.6,1 5.8,9.8,5.7,0.7,3.8,1.9
"",Phú Yên,1530,1 6.6,14.2,2.2,0.2,29.3,2 0.4,8.9,6.3,1.5,4.6,1.6
37,Khánh Hòa,1512,1 2.7,9.1,3.5,0.1,24.0,1 5.0,9.0,5.7,1.3,7.6,2.4
38,Ninh Thuận,1525,2 0.0,15.6,4.3,0.1,27.5,1 8.3,9.2,6.1,0.9,2.9,0.9
39,Bình Thuận,1530,1 6.3,14.9,1.2,0.2,29.4,1 8.5,10.9,8.8,4.3,3.8,1.5
40,Kon Tum,1530,2 6.1,20.6,5.0,0.5,40.8,2 1.6,19.2,6.8,1.8,2.4,1.0
41,Gia Lai,1696,2 4.8,18.6,5.9,0.3,35.5,2 0.9,14.6,7.1,1.4,3.5,1.2
42,Đắk Lắk,1513,2 3.4,20.4,2.7,0.3,33.8,1 9.0,14.8,6.0,1.1,2.1,0.7
43,Đắc Nông,1531,2 3.6,19.9,3.5,0.2,34.2,2 0.0,14.2,7.9,1.0,1.4,0.3
44,Lâm Đồng,1524,1 3.1,11.6,1.4,0.1,24.0,1 4.0,10.0,5.4,1.3,4.6,1.1
45,Bình Phước,1530,1 6.7,14.7,1.8,0.2,29.1,1 7.1,12.0,7.9,2.3,6.0,1.2
46,Tây Ninh,1550,1 4.3,13.0,1.2,0.1,24.6,1 4.0,10.6,5.6,0.5,6.5,2.5
47,Bình Dương,1531,9 .7,8.8,0.8,0.1,22.5,1 3.6,8.9,5.7,0.1,8.6,3.1
48,Đồng Nai,1574,1 0.4,8.1,2.2,0.1,26.7,1 7.2,9.5,5.4,1.4,7.2,2.9
49,Bà Rịa Vũng Tàu,1508,8 .5,7.6,0.9,-,21.6,1 1.7,9.9,5.9,1.4,6.9,2.7
50,TP.Hồ Chí Minh,3165,4 .1,3.7,0.4,-,6.7,4 .2,2.5,2.7,0.1,11.5,4.2
51,Long An,1544,1 0.1,9.3,0.7,0.1,20.8,1 2.1,8.7,5.9,0.1,6.7,2.5
52,Tiền Giang,1561,1 2.5,11.1,1.4,-,25.4,1 6.5,8.9,7.9,2.0,4.9,1.9
53,Bến Tre,1528,1 2.6,11.3,1.2,0.1,23.1,1 5.3,7.8,6.2,0.8,7.1,2.6
54,Trà Vinh,1538,1 5.9,15.1,0.7,0.1,24.9,1 7.0,7.9,8.2,3.3,5.2,1.4
55,Vĩnh Long,1529,1 5.3,14.1,1.1,0.1,24.4,1 6.8,7.6,5.6,0.8,5.2,1.8
56,Đồng Tháp,1329,1 5.0,12.5,2.4,0.1,26.6,1 6.4,10.2,7.5,1.8,4.0,1.6
57,An Giang,1538,1 4.3,11.9,2.2,0.2,24.9,1 5.1,9.8,6.6,1.1,3.5,1.4
58,Kiên Giang,1530,1 4.3,11.6,2.7,-,22.8,1 4.1,8.7,6.7,1.7,3.7,1.2
59,Cần Thơ,1524,1 1.7,10.4,1.2,0.1,22.7,1 5.7,7.0,6.5,0.7,6.4,1.6
60,Hậu Giang,1497,1 5.3,13.2,2.0,0.1,27.0,1 8.2,8.8,6.1,1.7,4.9,1.1
61,Sóc Trăng,1497,1 5.0,13.5,1.5,-,26.7,1 6.8,9.9,6.4,0.8,3.0,1.0
62,Bạc Liêu,1564,1 4.9,11.7,3.2,-,25.7,1 5.9,9.8,7.0,1.4,4.8,1.3
Cà Mau,1531,1 3.9,12.5,1 .4,-,25.0,1 5.1,9 .9,8 .4,3 .3,4.9,1.8,
