"Date","Operator","AC_Type","Location","Fatalities","Registration"
"Aug 16, 2018","","Boeing 737-800","Manila-Ninoy Aquino, Metro Manila",0,"B-5498"
"Aug 13, 2018","","Cessna 525 CJ1","Payson, Utah",1,"N526CP"
"Aug 11, 2018","","De Havilland DH.89 Dragon Rapide","Abbotsford, British Columbia",0,"N683DH"
"Aug 11, 2018","","PAC 750XL - Pacific Aerospace Corporation","Oksibil, Special Region of Papua",8,"PK-HVQ"
"Aug 10, 2018","","De Havilland Dash-8-400","Ketron Island, Washington",1,"N449QX"
"Aug 7, 2018","","Dassault Falcon 20","San Luis Potosí, San Luis Potosí",0,"N961AA"
"Aug 5, 2018","Category III Aviation","Cessna 414 Chancellor","Santa Ana-John Wayne, California",5,"N727RP"
"Aug 4, 2018","","Junkers JU.52","Piz Segnas, Glarus",20,"HB-HOT"
"Aug 4, 2018","","De Havilland DHC-2 Beaver","Mt Kahiltna, Alaska",5,"N323KT"
"Aug 4, 2018","Jeremiah 29:11","Extra EA-400","Ponca City, Oklahoma",5,"N13EP"
"Aug 1, 2018","","Piper PA-31-310 Navajo","Kananaskis, Alberta",2,"C-FNCI"
"Jul 31, 2018","","Embraer ERJ-190","Durango, Durango",0,"XA-GAL"
"Jul 30, 2018","","Piper PA-60 Aerostar (Ted Smith 600)","Greenville, Maine",3,"C-GRRS"
"Jul 29, 2018","","Beechcraft 90 King Air","Campo de Marte AFB (São Paulo), São Paulo",1,"PP-SZN"
"Jul 27, 2018","","PZL-Mielec AN-2","Kamako, Kasai-Occidental",5,"9S-GFS"
"Jul 21, 2018","","Douglas C-47 Skytrain (DC-3)","Burnet, Texas",0,"N47HL"
"Jul 20, 2018","Robert T. Knight Sr.","Piper PA-61 Aerostar (Ted Smith 601)","Baton Rouge, Louisiana",0,"N327BK"
"Jul 20, 2018","","Antonov AN-26","El Alamein, Matruh",0,"UP-AN611"
"Jul 18, 2018","","De Havilland DHC-2 Beaver","Willow Lake, Alaska",1,"N9878R"
"Jul 10, 2018","","Convair CV-340","Pretoria-Wonderboom, Gauteng",2,"ZS-BRV"
"Jul 10, 2018","","De Havilland DHC-3 Otter","Ketchikan, Alaska",0,"N3952B"
"Jun 28, 2018","","Beechcraft 90 King Air","Mumbai, Maharashtra",5,"VT-UPZ"
"Jun 27, 2018","Marcelo Oliveira Silva","Piper PA-31-350 Navajo Chieftain","Rio Jamanxim, Pará",2,"PT-IIU"
"Jun 26, 2018","","Cessna 414 Chancellor","Enstone, Oxfordshire",0,"N414FZ"
"Jun 24, 2018","","Let 410UVP","Souguéta, Kindia Region",4,"-"
"Jun 18, 2018","","Piper PA-31-310 Navajo","Ampangabe, Antananarivo Province",5,"5R-MKF"
"Jun 14, 2018","","McDonnell Douglas MD-83","Kiev-Zhuliany-Igor Sikorsky, Kiev oblast",0,"UR-CPR"
"Jun 13, 2018","","Cessna 207 Skywagon/Stationair","Susitna River, Alaska",1,"N91038"
"Jun 6, 2018","Aeroserv","PZL-Mielec AN-2","Băleni, Dâmbovița",0,"YR-DAX"
"Jun 6, 2018","","Cessna 525 CJ2","Saint-Tropez-La Môle, Var",0,"D-IULI"
"Jun 5, 2018","Hat Investments","Cessna 421B Golden Eagle II","Rock Sound, South Eleuthera",3,"N421MM"
"Jun 5, 2018","","Cessna 208B Grand Caravan","Mt Aberdare, Central",10,"5Y-CAC"
"Jun 4, 2018","","GippsAero GA10 Airvan","Mojave, California",0,"VH-XMH"
"Jun 3, 2018","","Partenavia P.68","Endelave Island, Sjælland",0,"D-GATA"
"Jun 3, 2018","","Lockheed C-130 Hercules","Biskra, Biskra",1,"7T-WHT"
"Jun 2, 2018","Bernard J. Krupinski","Piper PA-31-350 Navajo Chieftain","Amagansett, New York",4,"N41173"
"May 29, 2018","1st Avenue Malibu Services LLC","Piper PA-46 Malibu Meridian (Malibu Mirage)","Prescott, Arizona",0,"N148ME"
"May 30, 2018","","Cessna 208B Grand Caravan","Kamonia, Kasai-Occidental",0,"5X-MRH"
"May 27, 2018","","Cessna 421 Golden Eagle","Génova, Quetzaltenango",2,"N113FT"
"May 22, 2018","","Gulfstream G200","Tegucigalpa, Francisco Morazán",0,"N813WM"
"May 22, 2018","","Cessna 208B Grand Caravan","Manaus-Aeroclube de Flores, Amazonas",0,"PT-FLW"
"May 18, 2018","","Boeing 737-200","Havana-José Martí, La Habana",112,"XA-UHZ"
"May 16, 2018","","Cessna 208B Grand Caravan","Simikot, Karnali",2,"9N-AJU"
"May 15, 2018","Buena Suerte","Cessna 208B Grand Caravan","Tuzantán, Chiapas",3,"N149CD"
"May 13, 2018","","Cessna 208B Grand Caravan","Clonbullogue, Leinster",2,"G-KNYS"
"May 5, 2018","","Embraer KC-390","Gavião Peixoto-Embraer Unidade, São Paulo",0,"PT-ZNF"
"May 2, 2018","","Beechcraft 99 Airliner","Ibagué, Tolima",4,"PNC-0203"
"May 2, 2018","","Lockheed C-130 Hercules","Savannah, Georgia",9,"65-0968"
"May 1, 2018","","Pilatus PC-12","Ubatuba, São Paulo",0,"PR-WBV"
"Apr 29, 2018","Libyan Air Force -  Al Quwwat Al-Jawwiya Al Libiyya","Lockheed C-130 Hercules","Sharara Field, Wadi al Hayaa (وادي الحياة)",3,"-"
"Apr 26, 2018","AC Research Inc.","Cessna 402","Tanner-Hiller, Massachusetts",0,"N87266"
"Apr 24, 2018","","Cessna 303 Crusader","Batesland, South Dakota",0,"N9746C"
"Apr 20, 2018","","McDonnell Douglas MD-83","Alexandria, Louisiana",0,"N807WA"
"Apr 15, 2018","Augusta Aviation LLC","Cessna 525 CJ1","Crozet, Virginia",1,"N525P"
"Apr 14, 2018","","Antonov AN-74","Akola, Jonglei (جونقلي)",0,"EK-74036"
"Apr 11, 2018","","Ilyushin II-76","Boufarik, Blida",257,"7T-WIV"
"Apr 2, 2018","","Cessna 525 CJ4","Marion-Municipal, Indiana",0,"N511AC"
"Apr 1, 2018","","Cessna 401","Pelagiada, Stavropol Krai",0,"RA-1272G"
"Mar 16, 2018","","Beechcraft 99 Airliner","Hastings, Nebraska",0,"N213AV"
"Mar 15, 2018","","Beechcraft 200 Super King Air","Blue Creek, Orange Walk",0,"YV3284"
"Mar 12, 2018","","De Havilland Dash-8-400","Kathmandu-Tribhuvan, Bagmati",51,"S2-AGU"
"Mar 11, 2018","","Canadair CL-604 Challenger","Shahr-e-Kord, Chahar Mahaal and Bakhtiari",11,"TC-TRB"
"Mar 8, 2018","Robert R. Marshall","Piper PA-31-310 Navajo","Laredo, Texas",2,"N82605"
"Mar 6, 2018","","Antonov AN-26","Hmeimim AFB (Latakia), Latakia Governorate (مُحافظة اللاذقية‎)",39,"RF-92955"
"Mar 1, 2018","Mike & Mayo Partners","Beechcraft 60 Duke","Ferris, Texas",0,"N77MM"
"Feb 27, 2018","Pegasus of Montana","Quest Kodiak 100","Welaka, Florida",2,"N969TB"
"Feb 23, 2018","","Beechcraft 100 King Air","Abbotsford, British Columbia",0,"C-GIAE"
"Feb 22, 2018","","Cessna 441 Conquest","Owasco, Indiana",3,"N771XW"
"Feb 18, 2018","","ATR72-200","Mt Dena, Isfahan",66,"EP-ATS"
"Feb 18, 2018","William E. Patterson","Socata TBM-700","Evanston-Uinta County, Wyoming",2,"N700VX"
"Feb 16, 2018","","Airbus A320","Tallinn-Lennart Meri-Ülemiste, Harjumaa",0,"ES-SAN"
"Feb 11, 2018","","Antonov AN-148","Argunovo, Moscow oblast",71,"RA-61704"
"Jan 29, 2018","","Shaanxi Y-8","Zhengchang, Guizhou",12,"30513"
"Jan 17, 2018","","Casa-Nurtanio CN235 (IPTN)","Yalvaç, Mediterranean Region (Akdeniz Bölgesi)",3,"98-148"
"Jan 13, 2018","","Boeing 737-800","Trabzon, Black Sea Region (Karadeniz Bölgesi)",0,"TC-CPF"
"Jan 7, 2018","","Cessna 208B Grand Caravan","Akobo, Jonglei (جونقلي)",1,"5Y-FDC"
"Jan 6, 2018","","PZL-Mielec AN-2","La Paragua, Bolívar",0,"YV1944"
"Jan 2, 2018","","Cessna (DMI) Falcon 402","Bazaruto Island, Inhambane",0,"ZU-MDI"
"Dec 31, 2017","","De Havilland DHC-2 Beaver","Cottage Point, New South Wales",6,"VH-NOO"
"Dec 31, 2017","","Cessna 208B Grand Caravan","Punta Islita, Guanacaste (North Pacific)",12,"TI-BEI"
"Dec 27, 2017","Van E Aviation","Cessna 525 CJ2","Michigan City, Indiana",0,"N525KT"
"Dec 24, 2017","Aviation Transportation","Cessna 340","Bartow, Florida",5,"N247AT"
"Dec 23, 2017","","Britten-Norman Islander","Saidor Gap, Morobe",1,"P2-ISM"
"Dec 21, 2017","","Cessna 207 Skywagon/Stationair","Playa del Carmen, Quintana Roo",0,"XA-UHL"
"Dec 19, 2017","","PZL-Mielec AN-2","Naryan-Mar, Arkhangelsk oblast",4,"RA-01460"
"Dec 14, 2017","","Cessna 510 Mustang","Friedrichshafen, Baden-Württemberg",3,"OE-FWD"
"Dec 13, 2017","","ATR42-300","Fond-du-Lac, Saskatchewan",1,"C-GWEA"
"Dec 10, 2017","","Piper PA-61 Aerostar (Ted Smith 601)","Miami-Executive (Kendall-Tamiami), Florida",1,"N7529S"
"Dec 8, 2017","","Beechcraft 90 King Air","Sanford, Florida",3,"N19LW"
"Dec 5, 2017","","Beechcraft 90 King Air","Rockford, Illinois",0,"N500KR"
"Nov 28, 2017","","De Havilland DHC-6 Twin Otter","Simikot, Karnali",0,"9N-ABM"
"Nov 25, 2017","BelleAire","Piper PA-46 Malibu Meridian (Malibu Mirage)","Saint Petersburg-Clearwater, Florida",0,"N863RB"
"Nov 22, 2017","","Grumman C-2A Greyhound","Philippines Sea, All World",3,"162175"
"Nov 17, 2017","","Cessna 208B Grand Caravan","Placencia, Stann Creek",0,"V3-HGX"
"Nov 15, 2017","","Let 410UVP","Nelkan, Khabarovsk Krai",6,"RA-67047"
"Nov 15, 2017","","Cessna 208B Grand Caravan","Empakaai Camp, Arusha Region",11,"5H-EGG"
"Nov 10, 2017","","Quest Kodiak 100","Goiás, Goiás",0,"N154KQ"
"Nov 7, 2017","DalTransAero","PZL-Mielec AN-2","Ekimchan, Amur oblast",1,"RA-02305"
"Oct 25, 2017","","Cessna 208B Grand Caravan","Lobo, Mara Region",0,"5H-THR"
"Oct 19, 2017","","Beechcraft 200 Super King Air","Nuevo Saposoa, Ucayali",0,"OB-2077-P"
"Oct 18, 2017","","Cessna 402","Saint Petersburg, Florida",0,"N900CR"
"Oct 17, 2017","","Cessna 208A Caravan","Manaus, Amazonas",1,"PR-MPE"
"Oct 14, 2017","","Antonov AN-26","Abidjan, Lagunes",4,"ER-AVB"
"Oct 12, 2017","","Embraer EMB-120 Brasília","Cuilo, Lunda Norte",7,"D2-FDO"
"Oct 4, 2017","Haddock Flying Service","Cessna 401","Lane, South Carolina",2,"N401HH"
"Oct 4, 2017","","PZL-Mielec AN-28","Mezhdurechenskoye, Almaty Province",5,"UP-A2807"
"Oct 4, 2017","","De Havilland DHC-6 Twin Otter","Male, North Central Province",0,"8Q-ISB"
"Sep 30, 2017","Congolese Air Force - Force Aérienne de la République Démocratique du Congo","Antonov AN-12","Kinshasa, Kinshasa City Province",12,"EX-001"
"Sep 26, 2017","","Cessna 421B Golden Eagle II","Stráž pod Ralskem, Liberec Region (Liberecký kraj)",2,"OK-TKF"
"Sep 26, 2017","","Rockwell Aero Commander 500","Dabajuro, Falcón",1,"HI-560"
"Sep 23, 2017","RA Aircraft Management","Mitsubishi MU-2 Marquise","Ainsworth, Nebraska",1,"N73MA"
"Sep 21, 2017","","Cessna 650 Citation VII","Istanbul-Atatürk, Marmara Region (Marmara Bölgesi)",0,"TC-KON"
"Sep 10, 2017","","Antonov AN-26","Goma, Nord-Kivu",0,"9S-AFL"
"Sep 6, 2017","Sky West Aviation","Piper PA-31-310 Navajo","Caernarfon, Gwynedd",1,"N250AC"
"Sep 4, 2017","","BAe 125","Hato Viejo, Cojedes",2,"-"
"Sep 2, 2017","","PZL-Mielec AN-2","Chernoye, Moscow oblast",2,"RA-35171"
"Aug 28, 2017","","Antonov AN-26","Maban, Upper Nile (أعالي النيل)",0,"EK-26006"
"Aug 19, 2017","","Piper PA-61 Aerostar (Ted Smith 601)","Donegal Springs, Pennsylvania",0,"N7108"
"Aug 19, 2017","","Learjet 25","Naiguatá, Vargas",5,"YV3191"
"Aug 16, 2017","","Let 410UVP","Comayagua-Palmerola AFB, Comayagua",1,"FAH-322"
"Aug 14, 2017","Sky West Aviation","Socata TBM-700","Zemyo, Kansai",2,"N702AV"
"Aug 8, 2017","Malibair","Piper PA-46 Malibu Meridian (Malibu Mirage)","Mainau Island, Baden-Württemberg",2,"HB-PPH"
"Jul 29, 2017","","Antonov AN-74","São Tomé, Água Grande",0,"UR-CKC"
"Jul 25, 2017","","Britten-Norman Islander","Eteringbang, Cuyuni-Mazaruni",1,"8R-GRA"
"Jul 24, 2017","Aibal","Mitsubishi MU-2 Marquise","Buenos Aires-San Fernando, Buenos Aires City",3,"LV-MCV"
"Jul 18, 2017","","Boeing 737-300","Wamena, Special Region of Papua",0,"PK-YGG"
"Jul 13, 2017","","Piper PA-31 Cheyenne","Tyler-Pounds, Texas",2,"N47GW"
"Jul 10, 2017","","Lockheed C-130 Hercules","Itta Bena, Mississippi",16,"165000"
"Jul 5, 2017","","Pilatus PC-6 (Porter & Turbo Porter)","Wamena, Special Region of Papua",5,"PK-RCX"
"Jul 4, 2017","Servicio Autónomo de Transporte Aéreo - SATA","Gulfstream GIII","Punta Arenas, Nueva Esparta",9,"YV2896"
"Jul 3, 2017","","Cessna 208B Grand Caravan","Alpine-Casparis, Texas",0,"N9714B"
"Jul 1, 2017","Sky King Flying Service","Cessna 421C Golden Eagle III","Catawba, Wisconsin",6,"N2655B"
"Jun 27, 2017","Albatross Avia","PZL-Mielec AN-2","Kilia, Odessa Oblast",0,"UR-19717"
"Jun 26, 2017","","Cessna 207 Skywagon/Stationair","Vinalhaven, Maine",0,"N207GM"
"Jun 13, 2017","","Beechcraft 90 King Air","Ruidoso-Sierra Blanca, New Mexico",2,"N48TA"
"Jun 7, 2017","","Shaanxi Y-8","Andaman Sea, All World",122,"5820"
"Jun 3, 2017","","Fokker F27 Friendship","Garbaharey, Geedo (جوبا الوسطى‎)",0,"5Y-FMM"
"May 31, 2017","","Cessna 421A Golden Eagle I","Buenos Aires-Ezeiza-Ministro Pistarini, Buenos Aires City",0,"LQ-JLY"
"May 30, 2017","","Antonov AN-26","Balashov, Saratov oblast",1,"RF-36160"
"May 30, 2017","","PZL-Mielec AN-28","Bajura, Seti",1,"NA-048"
"May 30, 2017","","Cessna 441 Conquest","Renmark, South Australia",3,"VH-XMJ"
"May 27, 2017","","Let 410UVP","Lukla-Tenzing-Hillary, Sagarmatha",2,"9N-AKY"
"May 24, 2017","","De Havilland DHC-6 Twin Otter","Perris Valley, California",0,"N708PV"
"May 17, 2017","","Learjet 25","Toluca, México",2,"XA-VMC"
"May 15, 2017","Ithaca Consulting","Mitsubishi MU-2 Marquise","Eleuthera Island, All Bahamas",4,"N220N"
"May 15, 2017","","Beechcraft 350 Super King Air","Assabu, Hokkaidō",4,"23057"
"May 15, 2017","A&C Big Sky Aviation","Learjet 35","Teterboro, New Jersey",2,"N452DA"
"May 5, 2017","","Short 330","Charleston-Yaeger (Kanawha), West Virginia",2,"N334AC"
"May 3, 2017","","Piper PA-31-310 Navajo","Colton, New York",1,"C-GQAM"
"May 1, 2017","","Cessna 208B Grand Caravan","Bogotá-Guaymaral, Bogotá Capital District",8,"EJC-1130"
"May 1, 2017","","Cessna 208B Grand Caravan","Chignik, Alaska",1,"N803TH"
"Apr 30, 2017","","Piper PA-31-310 Navajo","Schefferville, Quebec",2,"C-FQQB"
"Apr 29, 2017","","Antonov AN-26","San Cristobal, Artemisa",8,"CU-T1406"
"Apr 28, 2017","","Pilatus PC-12","Amarillo-Rick Husband, Texas",3,"N933DC"
"Apr 25, 2017","Klass Enterprises","Cessna 421C Golden Eagle III","Huntsville, Texas",1,"N421TK"
"Apr 17, 2017","","Piper PA-31 Cheyenne","Cascais, Estremadura - Lisbon District",5,"HB-LTI"
"Apr 12, 2017","","Cessna 208 Caravan","Oksibil, Special Region of Papua",1,"PK-FSO"
"Apr 7, 2017","Park City Aviation","Piper PA-46 Malibu Meridian (Malibu Mirage)","Harrisburg, Oregon",4,"N123SB"
"Apr 1, 2017","","Let 410UVP","Yei, Central Equatoria (الاستوائية الوسطى)",0,"5X-EIV"
"Mar 31, 2017","Itapara Sport Fishing","Piper PA-42 Cheyenne","Sorocaba, São Paulo",2,"PP-EPB"
"Mar 30, 2017","","PZL-Mielec AN-2","La Paragua, Bolívar",0,"YV1638"
"Mar 28, 2017","","Boeing 737-300","Jauja, Junín",0,"OB-2036-P"
"Mar 27, 2017","","Britten-Norman Islander","Mutare, Manicaland",6,"C9-AOV"
"Mar 24, 2017","Shelter Charter Services","Cessna 500 Citation","Marietta, Georgia",1,"N8DX"
"Mar 20, 2017","","Antonov AN-26","Wau, Western Bahr el Ghazal (غرب بحر الغزال)",0,"S9-TLZ"
"Mar 14, 2017","","Pilatus PC-12","Cannon AFB (Clovis), New Mexico",3,"08-0724"
"Mar 8, 2017","","McDonnell Douglas MD-83","Detroit-Willow Run (Ypsilanti), Michigan",0,"N786TW"
"Mar 5, 2017","","Pilatus PC-12","Kamphaeng Saen, Nakhon Pathom (จังหวัดนครปฐม)",1,"VT-AVG"
"Mar 4, 2017","","Beechcraft 60 Duke","Duette, Florida",2,"N39AG"
"Mar 4, 2017","","Cessna 421B Golden Eagle II","Cherokee County, Georgia",1,"N421KL"
"Feb 21, 2017","Corporate and Leisure Aviation","Beechcraft 200 Super King Air","Melbourne-Essendon, Victoria",5,"VH-ZCR"
"Feb 15, 2017","","Piper PA-46 Malibu Meridian (Malibu Mirage)","Chichén Itzá, Yucatán",0,"N116TH"
"Feb 9, 2017","Botswana Defence Force - Air Wing","Casa 212 Aviocar","Thebephatshwa AFB, Kweneng District",3,"-"
"Jan 28, 2017","","Boeing 737-400","Leticia, Amazonas",0,"HK-5197"
"Jan 26, 2017","","Grumman G-73 Mallard","Perth, Western Australia",2,"VH-CQA"
"Jan 23, 2017","KAAZ LLC","Beechcraft 300 Super King Air","Tucson, Arizona",2,"N385KA"
"Jan 19, 2017","","Beechcraft 90 King Air","Paraty, Rio de Janeiro",5,"PR-SOM"
"Jan 16, 2017","","Boeing 747-400","Bishkek-Manas, Bishkek City",38,"TC-MCL"
"Jan 16, 2017","Zeliff Aviation","Cessna 525 CJ4","Howell, Michigan",0,"N525PZ"
"Jan 2, 2017","Doren Air Congo","Let 410UVP","Shabunda, Sud-Kivu",0,"9Q-CZR"
"Dec 29, 2016","","Cessna 525 CJ4","Cleveland-Burke Lakefront, Ohio",6,"N614SB"
"Dec 27, 2016","Independent Technologies","Epic LT","Spruce Creek, Florida",2,"N669WR"
"Dec 25, 2016","","Tupolev TU-154","Sochi-Adler, Krasnodar Krai",92,"RA-85572"
"Dec 21, 2016","","Beechcraft 200 Super King Air","Butterworth AFB (Penang), Penang",1,"M41-03"
"Dec 20, 2016","","Boeing 727-200","Puerto Carreño, Vichada",5,"HK-4544"
"Dec 19, 2016","","Ilyushin II-18","Tiksi, Republic of Yakutia (Sakha)",0,"RF-91821"
"Dec 18, 2016","","Lockheed C-130 Hercules","Wamena, Special Region of Papua",13,"A-1334"
"Dec 13, 2016","","Cessna (DMI) Falcon 402","Lanseria, Gauteng",0,"ZU-TVB"
"Dec 12, 2016","","PAC 750XL - Pacific Aerospace Corporation","Tiniroto, Gisborne District Council",2,"ZK-XLA"
"Dec 12, 2016","","Quest Kodiak 100","Moab, Utah",1,"N772RT"
"Dec 7, 2016","","ATR42-500","Havelian, Khyber Pakhtunkhwa (خیبرپختونخوا)",47,"AP-BHO"
"Dec 5, 2016","","Swearingen SA227 Metro III","Pebble City, Georgia",1,"N765FA"
"Dec 4, 2016","","Beechcraft 90 King Air","Sotillo de las Palomas, Castile-La Mancha",4,"N79CT"
"Dec 3, 2016","","PZL-Mielec AN-28","Tanjung Pinang, Riau Islands",13,"P-4201"
"Nov 29, 2016","","Piper PA-31-350 Navajo Chieftain","El Sacrificio, Campeche",0,"N633D"
"Nov 28, 2016","","Avro RJ85","La Ceja, Antioquia",71,"CP-2933"
"Nov 27, 2016","","Casa 212 Aviocar","Pitu (Morotai Island), North Maluku",0,"U-623"
"Nov 24, 2016","","Piper PA-31-310 Navajo","Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)",1,"D-IFBU"
"Nov 23, 2016","Flight Development","Beechcraft 200 Super King Air","Moorhead, Minnesota",0,"N80RT"
"Nov 18, 2016","","Piper PA-31 Cheyenne","Elko, Nevada",4,"N779MF"
"Oct 31, 2016","Puncak Regency Administration","De Havilland DHC-4 Caribou","Ilaga, Special Region of West Papua",4,"PK-SWW"
"Oct 28, 2016","","Boeing 767-300","Chicago-O'Hare, Illinois",0,"N345AN"
"Oct 28, 2016","","Douglas DC-10","Fort Lauderdale-Hollywood, Florida",0,"N370FE"
"Oct 24, 2016","","Swearingen SA227 Metro III","Luqa, All Malta",5,"N577MX"
"Oct 15, 2016","","Socata TBM-900","Fairoaks, Surrey",0,"M-VNTR"
"Oct 13, 2016","Norjet","Cessna 500 Citation","Kelowna, British Columbia",4,"C-GTNG"
"Oct 11, 2016","","Antonov AN-26","Belaya Gora, Republic of Yakutia (Sakha)",0,"RA-26660"
"Oct 10, 2016","101190984 Saskatchewan","De Havilland DHC-2 Beaver","Laidman Lake, British Columbia",1,"C-GEWG"
"Oct 9, 2016","","Cessna 207 Skywagon/Stationair","Uchuquinua, Cajamarca",3,"OB-1936-P"
"Oct 2, 2016","","Cessna 208B Grand Caravan","Togiak, Alaska",3,"N208SD"
