"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh/Thành phố, Tỷ suất và Năm"

" ";"Tỷ suất nhập cư";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tỷ suất xuất cư";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tỷ suất di cư thuần";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Sơ bộ 2015"
"Hưng Yên";6.8;6.7;3.9;5.4;6.5;8.0;7.0;10.9;7.4;3.5;5.8;4.9;5.1;9.4;6.7;6.1;9.6;6.5;5.2;4.6;1.0;1.8;-1.2;-4.0;-0.2;1.8;-2.6;4.4;2.2;-1.1
"Thái Bình";5.8;9.7;4.8;1.6;2.7;2.3;1.2;2.2;4.7;0.5;6.7;14.2;5.9;13.0;11.1;9.4;9.1;8.6;8.6;4.7;-0.9;-4.5;-1.1;-11.4;-8.4;-7.1;-7.9;-6.4;-3.9;-4.2
"Hà Nam";2.3;2.8;4.9;2.4;4.1;6.6;1.4;6.1;6.7;2.6;8.0;11.6;5.3;13.1;8.7;10.5;5.6;6.2;8.7;5.9;-5.7;-8.8;-0.5;-10.7;-4.6;-4.0;-4.2;-0.1;-2.0;-3.3
"Nam Định";1.9;3.9;0.7;2.2;4.1;6.1;2.3;3.5;4.6;0.6;6.8;7.1;8.3;12.9;8.4;7.4;7.8;8.4;8.3;3.7;-4.9;-3.2;-7.6;-10.6;-4.3;-1.3;-5.5;-4.9;-3.7;-3.1
"Ninh Bình";3.6;6.4;4.6;3.5;5.9;10.2;10.2;11.9;7.9;5.6;6.2;9.1;6.2;12.5;9.2;8.5;6.4;11.1;7.5;4.5;-2.6;-2.7;-1.6;-9.0;-3.3;1.7;3.8;0.8;0.4;1.1
"Trung du và miền núi phía Bắc";1.9;2.8;2.2;1.8;2.3;2.8;1.6;2.7;2.3;1.1;2.3;3.7;2.8;5.4;6.2;6.1;4.2;5.0;4.3;3.0;-0.4;-0.9;-0.6;-3.6;-3.9;-3.3;-2.6;-2.3;-2.0;-1.9
"Hà Giang";0.6;0.9;0.9;2.2;1.9;2.4;1.3;2.8;1.4;1.1;0.9;2.2;2.1;3.1;19.0;3.6;1.7;2.6;2.1;2.7;-0.3;-1.2;-1.2;-0.9;-17.1;-1.3;-0.4;0.2;-0.7;-1.6
"Cao Bằng";4.2;5.9;5.2;3.7;4.7;4.6;4.4;8.1;3.3;4.0;4.0;7.0;1.5;6.5;9.6;10.1;15.6;8.6;8.2;4.0;0.2;-1.1;3.6;-2.8;-4.9;-5.5;-11.2;-0.5;-4.9;0.0
"Bắc Kạn";4.3;5.0;2.6;4.7;4.6;4.8;3.1;4.7;4.0;2.2;5.0;4.2;3.8;7.1;6.3;6.7;4.6;11.7;10.1;2.5;-0.7;0.7;-1.2;-2.4;-1.7;-1.8;-1.5;-7.0;-6.1;-0.3
"Tuyên Quang";2.8;2.6;3.9;2.4;2.8;3.7;2.1;3.3;3.9;1.4;3.4;6.0;4.4;8.2;4.7;13.5;3.5;5.1;6.4;3.8;-0.6;-3.3;-0.5;-5.9;-1.9;-9.8;-1.4;-1.8;-2.5;-2.4
"Lào Cai";1.2;1.8;1.4;3.9;3.7;3.4;2.9;4.4;2.0;1.9;2.4;6.6;2.3;4.5;3.8;2.4;3.0;5.1;4.1;4.8;-1.2;-4.9;-0.9;-0.6;-0.1;1.0;-0.1;-0.7;-2.1;-2.9
"Yên Bái";2.3;3.8;3.6;2.1;3.4;4.4;1.8;4.0;4.4;2.2;3.8;3.2;2.6;6.3;4.1;7.4;4.6;7.4;5.7;3.3;-1.6;0.6;1.0;-4.1;-0.7;-3.0;-2.8;-3.4;-1.3;-1.1
"Thái Nguyên";5.9;6.1;4.3;6.0;11.5;7.7;4.7;4.1;6.5;3.5;5.8;5.6;5.4;7.9;6.9;9.7;7.2;8.5;7.8;4.9;0.1;0.4;-1.1;-1.9;4.6;-2.0;-2.5;-4.4;-1.3;-1.4
"Lạng Sơn";1.2;1.3;2.5;2.6;3.0;6.2;3.5;6.1;2.0;2.4;3.0;5.4;5.5;7.3;8.2;8.1;7.8;6.3;7.1;5.3;-1.8;-4.0;-3.1;-4.7;-5.2;-1.9;-4.3;-0.2;-5.1;-2.9
"Bắc Giang";2.4;3.4;3.3;1.6;3.0;5.5;3.2;4.6;4.8;3.1;4.9;6.4;4.3;10.3;10.0;10.4;6.8;9.2;5.8;4.2;-2.5;-2.9;-1.0;-8.7;-7.0;-4.9;-3.6;-4.6;-1.0;-1.1
"Phú Thọ";2.6;4.6;2.6;2.3;2.4;4.5;3.1;6.7;5.2;2.7;3.5;4.8;3.6;9.6;14.2;13.7;5.0;7.0;7.7;3.4;-0.9;-0.2;-1.1;-7.3;-11.8;-9.2;-1.9;-0.3;-2.5;-0.7
"Điện Biên";2.6;5.3;2.9;3.2;3.6;3.9;3.4;4.7;4.4;2.0;0.9;3.7;3.7;3.9;1.3;2.1;3.6;4.5;2.7;1.4;1.7;1.5;-0.8;-0.6;2.3;1.8;-0.2;0.2;1.7;0.6
"Lai Châu";1.1;4.4;3.9;9.8;3.5;3.5;3.9;5.0;3.8;1.6;3.3;4.4;8.1;2.9;2.5;4.1;3.4;4.7;3.8;16.7;-2.2;0.0;-4.2;6.9;1.0;-0.6;0.5;0.3;0.0;-15.1
"Sơn La";1.4;2.3;0.8;2.8;2.0;2.7;1.3;2.6;2.0;0.6;1.7;2.1;2.4;2.3;2.4;1.8;3.4;2.6;3.0;1.9;-0.3;0.2;-1.6;0.5;-0.4;0.8;-2.1;0.0;-1.0;-1.3
"Hòa Bình";3.7;4.0;2.6;3.0;3.8;5.6;2.1;2.7;3.4;1.8;2.9;4.4;3.1;6.3;5.8;7.8;5.8;10.9;8.4;3.4;0.8;-0.4;-0.6;-3.3;-2.0;-2.2;-3.7;-8.2;-5.0;-1.6
"Bắc Trung Bộ và duyên hải miền Trung";2.0;3.5;2.6;1.3;3.1;4.7;2.1;5.0;5.3;2.6;4.6;6.1;4.5;9.0;8.8;8.7;6.5;6.7;7.1;4.4;-2.6;-2.6;-1.9;-7.7;-5.7;-4.0;-4.4;-1.7;-1.8;-1.8
"Thanh Hóa";2.3;4.9;5.3;1.3;6.8;9.8;5.1;13.3;5.7;3.5;6.1;8.8;7.6;14.9;13.0;14.5;10.3;11.0;10.1;7.2;-3.7;-3.8;-2.3;-13.6;-6.2;-4.6;-5.2;2.3;-4.4;-3.7
"Nghệ An";2.7;5.5;2.6;2.1;2.7;4.8;1.0;6.8;19.4;10.1;4.5;5.7;4.5;11.4;10.3;11.8;10.5;12.5;10.1;5.4;-1.8;-0.1;-1.9;-9.3;-7.6;-7.0;-9.6;-5.7;9.3;4.7
"Hà Tĩnh";6.4;3.6;6.7;2.3;4.7;6.2;3.7;6.9;10.9;3.9;5.1;10.6;6.4;15.2;14.4;12.4;12.8;11.0;14.9;8.2;1.3;-7.0;0.3;-12.9;-9.7;-6.2;-9.1;-4.1;-4.0;-4.3
"Quảng Bình";2.6;3.3;1.5;1.9;2.4;4.0;7.6;6.5;5.8;3.2;3.4;5.7;6.9;11.5;13.4;10.3;7.6;14.5;11.4;6.6;-0.8;-2.4;-5.4;-9.6;-11.0;-6.3;0.0;-8.0;-5.6;-3.4
"Quảng Trị";2.3;2.4;2.6;2.4;5.6;4.9;3.6;5.3;6.2;4.7;5.6;11.5;3.6;10.2;11.4;10.0;8.4;10.2;10.9;7.4;-3.3;-9.1;-1.0;-7.8;-5.8;-5.1;-4.8;-4.9;-4.7;-2.7
"Thừa Thiên - Huế";4.8;4.9;3.1;5.4;8.3;13.5;5.0;6.8;7.1;3.0;8.4;7.5;8.8;9.9;10.3;8.6;7.7;7.1;11.6;8.4;-3.6;-2.7;-5.8;-4.5;-2.0;4.9;-2.7;-0.3;-4.5;-5.4
"Đà Nẵng";8.6;13.6;12.0;20.1;29.8;22.8;17.5;15.5;14.0;11.6;4.7;6.0;5.5;4.8;3.4;7.9;6.3;9.7;13.8;6.7;3.8;7.6;6.5;15.3;26.4;14.9;11.2;5.8;0.2;4.9
"Quảng Nam";2.2;2.6;1.8;2.4;4.9;8.8;3.3;6.2;4.6;2.5;6.5;7.1;6.1;10.4;14.6;11.1;6.9;7.7;6.7;6.3;-4.3;-4.5;-4.3;-8.0;-9.7;-2.3;-3.6;-1.5;-2.1;-3.8
"Quảng Ngãi";0.6;4.2;2.7;1.5;2.3;5.4;1.8;4.2;3.6;1.5;5.5;7.8;5.4;11.4;12.0;13.3;7.6;6.0;8.4;3.1;-4.9;-3.6;-2.7;-10.0;-9.7;-7.9;-5.8;-1.8;-4.8;-1.6
"Bình Định";1.6;4.2;2.5;2.7;6.0;6.6;2.8;3.7;4.4;2.3;5.7;7.5;4.3;10.8;9.9;10.0;9.8;7.5;8.2;3.3;-4.1;-3.3;-1.8;-8.0;-3.9;-3.4;-7.0;-3.8;-3.8;-1.0
"Phú Yên";2.7;2.9;2.4;2.0;2.5;6.1;3.2;3.9;3.9;1.4;1.5;3.5;6.7;7.6;8.4;14.0;6.2;6.3;7.7;9.3;1.2;-0.6;-4.3;-5.5;-5.9;-7.9;-3.0;-2.4;-3.8;-7.9
"Khánh Hòa";2.6;2.1;3.5;4.1;3.7;5.0;3.1;3.4;3.5;1.6;5.3;5.1;3.9;5.6;11.9;8.4;5.5;4.7;7.4;4.9;-2.7;-3.0;-0.4;-1.5;-8.2;-3.4;-2.4;-1.3;-3.9;-3.3
"Ninh Thuận";1.1;1.9;3.1;2.2;2.9;3.8;3.6;7.4;4.0;1.8;1.6;4.6;2.6;8.8;17.1;15.8;4.5;3.1;6.8;5.3;-0.5;-2.7;0.4;-6.6;-14.2;-12.0;-0.9;4.3;-2.8;-3.5
"Bình Thuận";3.1;0.8;1.9;3.0;4.2;2.1;2.3;5.3;2.4;1.0;4.2;9.0;5.3;7.6;9.6;8.5;6.1;8.5;6.9;3.1;-1.1;-8.3;-3.4;-4.6;-5.4;-6.4;-3.8;-3.2;-4.5;-2.1
"Tây Nguyên";4.7;5.9;4.9;7.3;5.7;6.0;8.7;8.3;7.7;2.3;4.9;6.1;6.4;5.5;6.1;8.4;5.0;6.1;6.1;3.4;-0.2;-0.2;-1.5;1.8;-0.4;-2.4;3.7;2.2;1.6;-1.1
"Kon Tum";4.7;4.2;9.5;9.3;6.7;8.8;11.8;13.3;6.7;3.9;4.2;5.7;2.4;3.9;4.1;9.8;5.3;5.9;7.6;1.9;0.4;-1.5;7.2;5.4;2.6;-1.0;6.5;7.4;-0.9;2.0
"Gia Lai";2.9;7.1;5.5;7.0;3.7;4.9;4.9;8.0;5.2;1.7;3.4;6.0;6.0;4.9;5.9;6.9;5.3;8.1;7.1;2.3;-0.6;1.0;-0.4;2.1;-2.2;-1.9;-0.4;-0.1;-1.9;-0.6
"Đắk Lắk";4.3;6.1;3.7;6.1;6.9;7.7;8.4;9.7;3.7;2.5;7.5;9.7;7.1;8.3;8.8;12.3;7.8;8.5;6.1;4.5;-3.2;-3.6;-3.4;-2.2;-1.9;-4.6;0.6;1.2;-2.4;-2.0
"Đắk Nông";11.4;9.4;8.9;18.9;7.3;5.7;42.3;18.4;42.7;3.8;1.5;4.5;3.0;5.7;3.2;10.7;6.1;6.7;7.1;4.9;9.9;4.9;5.9;13.2;4.1;-5.0;36.2;11.7;35.6;-1.1
"Lâm Đồng";7.6;6.8;7.1;9.8;8.6;9.2;6.8;8.0;6.0;3.9;5.5;4.5;12.3;8.4;7.5;8.3;8.9;8.4;9.1;5.3;2.1;2.3;-5.3;1.4;1.1;1.0;-2.1;-0.4;-3.1;-1.4
"Đông Nam Bộ";10.3;16.8;14.2;25.3;24.8;23.4;15.5;15.7;18.5;12.8;3.1;5.5;4.8;1.9;4.9;8.6;3.8;7.4;7.3;3.1;7.2;11.3;9.4;23.4;19.9;14.8;11.7;8.3;11.2;9.7
"Bình Phước";4.6;6.8;5.5;9.2;10.3;10.9;6.7;7.1;8.0;3.1;6.6;12.1;9.1;9.3;17.2;11.7;8.9;9.2;12.0;3.6;-2.0;-5.3;-3.6;-0.1;-6.9;-0.8;-2.2;-2.1;-4.0;-0.5
"Tây Ninh";2.6;3.3;1.5;3.5;3.3;5.8;3.9;3.6;5.7;1.8;6.8;8.2;6.8;7.4;7.2;7.5;3.9;6.3;6.5;4.2;-4.2;-5.0;-5.3;-3.9;-3.9;-1.7;0.0;-2.7;-0.8;-2.4
"Bình Dương";27.2;60.7;42.3;73.2;89.6;64.8;59.1;54.5;70.2;52.0;9.2;19.6;15.2;5.1;15.0;22.1;10.2;19.9;18.2;10.0;18.0;41.1;27.1;68.1;74.6;42.7;48.9;34.6;52.0;42.0
"Đồng Nai";3.0;11.2;12.3;20.8;27.2;31.4;18.5;14.6;23.6;20.4;6.0;10.6;9.7;7.6;10.8;9.3;6.0;7.9;11.7;6.2;-3.1;0.6;2.5;13.2;16.4;22.1;12.5;6.7;11.9;14.2
"Bà Rịa - Vũng Tàu";8.7;9.1;5.4;12.5;13.3;16.5;10.5;10.8;15.0;6.0;6.1;8.8;7.6;8.2;8.9;10.8;7.7;6.9;7.8;5.3;2.6;0.3;-2.3;4.3;4.4;5.7;2.8;3.9;7.2;0.7
"TP. Hồ Chí Minh";19.1;30.8;21.2;31.3;26.2;25.0;14.8;16.5;16.9;10.4;5.0;8.6;6.6;4.2;7.8;13.5;7.2;10.3;11.4;5.7;14.0;22.2;14.6;27.1;18.4;11.5;7.6;6.2;5.5;4.7
"Đồng bằng sông Cửu Long";0.8;1.4;1.6;0.9;1.8;3.1;1.5;2.7;2.2;1.1;2.6;6.1;4.8;9.3;10.2;9.6;6.5;7.0;8.9;6.5;-1.8;-4.7;-3.2;-8.4;-8.4;-6.5;-5.0;-4.3;-6.7;-5.4
"Long An";2.6;4.6;3.8;5.9;5.5;3.8;4.7;4.7;6.2;4.5;6.5;10.2;8.7;9.9;9.0;7.7;7.5;6.8;8.8;6.5;-3.9;-5.6;-5.0;-3.9;-3.5;-3.9;-2.8;-2.1;-2.6;-2.0
"Tiền Giang";5.2;5.1;6.5;3.1;9.0;8.5;8.1;9.8;7.6;4.3;5.3;8.9;7.2;11.7;9.2;9.5;9.4;6.5;7.3;5.3;-0.1;-3.9;-0.7;-8.6;-0.2;-1.0;-1.3;3.3;0.3;-1.0
"Bến Tre";2.0;3.4;3.4;2.3;2.2;5.8;2.5;5.3;7.4;3.7;6.6;10.1;7.3;15.7;15.1;15.5;10.8;9.2;13.9;7.4;-4.6;-6.7;-3.9;-13.4;-12.9;-9.8;-8.3;-3.9;-6.5;-3.7
"Trà Vinh";2.0;3.7;7.1;2.3;5.0;11.4;4.0;9.5;7.4;2.8;2.7;8.0;2.7;14.5;9.1;12.7;8.7;7.3;12.4;5.5;-0.7;-4.3;4.4;-12.1;-4.1;-1.3;-4.7;2.2;-5.0;-2.7
"Vĩnh Long";2.4;2.6;1.9;4.5;4.2;7.6;8.0;9.9;5.6;2.5;4.5;7.7;5.8;14.9;17.6;11.5;9.3;7.2;10.6;7.7;-2.1;-5.2;-3.9;-10.4;-13.4;-3.9;-1.3;2.7;-5.0;-5.2
"Đồng Tháp";2.3;2.3;2.0;2.5;4.1;5.8;2.5;3.8;3.2;1.8;5.7;8.6;5.1;11.5;10.7;11.1;8.8;9.5;9.6;9.1;-3.4;-6.3;-3.1;-9.1;-6.6;-5.4;-6.3;-5.7;-6.4;-7.3
"An Giang";1.4;1.8;2.1;1.8;3.6;3.9;2.2;3.1;4.3;2.1;3.5;4.6;5.0;11.0;11.9;16.0;11.2;11.3;12.7;11.8;-2.1;-2.8;-2.9;-9.2;-8.3;-12.2;-9.0;-8.2;-8.4;-9.7
"Kiên Giang";3.4;4.8;3.3;2.5;5.8;7.3;4.4;4.1;3.0;2.0;3.4;6.1;4.0;9.3;14.5;15.2;8.8;10.8;9.6;9.9;0.0;-1.3;-0.6;-6.7;-8.7;-7.8;-4.4;-6.7;-6.6;-7.9
"Cần Thơ";5.1;6.4;4.4;10.2;9.8;6.9;8.9;9.6;8.2;3.1;5.5;7.0;7.3;9.5;11.5;11.0;7.1;13.6;11.4;7.7;-0.5;-0.6;-2.8;0.6;-1.7;-4.1;1.8;-4.0;-3.2;-4.6
"Hậu Giang";2.4;3.3;6.3;3.3;4.0;7.7;7.7;6.7;4.5;1.8;4.0;12.6;10.4;10.8;10.9;5.4;11.6;10.8;18.0;6.1;-1.6;-9.3;-4.1;-7.5;-6.9;2.3;-3.9;-4.1;-13.5;-4.3
"Sóc Trăng";2.5;1.6;4.0;1.9;2.8;3.1;2.0;3.2;3.4;1.0;4.3;8.4;4.2;11.4;12.7;14.8;10.2;9.5;12.0;6.2;-1.8;-6.8;-0.2;-9.5;-9.9;-11.7;-8.2;-6.3;-8.6;-5.2
"Bạc Liêu";1.8;1.6;1.4;1.5;2.6;3.0;2.4;2.5;2.5;1.3;2.6;6.6;3.1;10.8;13.2;9.6;10.7;16.4;16.6;7.6;-0.8;-5.0;-1.7;-9.3;-10.6;-6.6;-8.3;-13.9;-14.1;-6.3
"Cà Mau";1.8;0.6;1.2;1.4;2.5;4.2;2.4;2.9;2.8;0.5;2.1;7.2;6.5;12.8;29.7;16.3;8.2;11.4;16.4;7.7;-0.3;-6.6;-5.3;-11.4;-27.2;-12.1;-5.8;-8.5;-13.6;-7.2

"Từ năm 2008 tới nay, số liệu thành phố Hà Nội bao gồm cả tỉnh "
"Hà Tây."

